Datetime,Open,High,Low,Close,Adj Close,Volume
2026-08-03 09:30:00-04:00,676.2899780273438,681.72998046875,671.3699951171875,671.719970703125,671.719970703125,253393
2026-08-03 09:35:00-04:00,672.3800048828125,699.0,671.0,687.0900268554688,687.0900268554688,140733
2026-08-03 09:40:00-04:00,687.5499877929688,689.6099853515625,677.4949951171875,688.4400024414062,688.4400024414062,66232
2026-08-03 09:45:00-04:00,690.0499877929688,702.3200073242188,690.0499877929688,694.8300170898438,694.8300170898438,61863
2026-08-03 09:50:00-04:00,694.344970703125,699.6400146484375,691.94677734375,696.3800048828125,696.3800048828125,38398
2026-08-03 09:55:00-04:00,696.5549926757812,720.0,695.9600219726562,720.0,720.0,102553
2026-08-03 10:00:00-04:00,719.27001953125,722.52001953125,710.6849975585938,713.530029296875,713.530029296875,89265
2026-08-03 10:05:00-04:00,714.0,718.7999877929688,711.8049926757812,716.610107421875,716.610107421875,56447
2026-08-03 10:10:00-04:00,717.8200073242188,727.239990234375,715.8300170898438,718.155029296875,718.155029296875,77855
2026-08-03 10:15:00-04:00,718.0800170898438,729.97998046875,716.3499755859375,728.1900024414062,728.1900024414062,43787
2026-08-03 10:20:00-04:00,726.469970703125,735.3599853515625,725.4000244140625,735.14501953125,735.14501953125,73340
2026-08-03 10:25:00-04:00,735.0,742.5,733.9083862304688,742.3699951171875,742.3699951171875,63947
2026-08-03 10:30:00-04:00,742.739990234375,750.5800170898438,741.4100952148438,747.4061889648438,747.4061889648438,96473
2026-08-03 10:35:00-04:00,747.9650268554688,754.780029296875,747.0200805664062,753.7000122070312,753.7000122070312,84063
2026-08-03 10:40:00-04:00,752.739990234375,756.989990234375,750.5,750.8800048828125,750.8800048828125,75175
2026-08-03 10:45:00-04:00,750.8699951171875,763.5499877929688,747.0,760.0,760.0,101501
2026-08-03 10:50:00-04:00,761.3626708984375,766.9799194335938,760.2000122070312,763.97998046875,763.97998046875,78510
2026-08-03 10:55:00-04:00,764.4400024414062,767.409912109375,760.0,766.1900024414062,766.1900024414062,71590
2026-08-03 11:00:00-04:00,766.0,766.919921875,761.3699951171875,763.7550048828125,763.7550048828125,42560
2026-08-03 11:05:00-04:00,764.3800048828125,764.3800048828125,757.6599731445312,759.4849853515625,759.4849853515625,58357
2026-08-03 11:10:00-04:00,758.6099853515625,761.97998046875,755.0999755859375,756.510009765625,756.510009765625,71535
2026-08-03 11:15:00-04:00,757.0900268554688,761.3499755859375,756.0800170898438,757.4400024414062,757.4400024414062,86131
2026-08-03 11:20:00-04:00,757.5999755859375,761.6599731445312,756.7650146484375,756.7999877929688,756.7999877929688,38387
2026-08-03 11:25:00-04:00,756.8699951171875,758.9500122070312,754.030029296875,756.2100219726562,756.2100219726562,37136
2026-08-03 11:30:00-04:00,755.6099853515625,759.159912109375,755.0,758.344970703125,758.344970703125,27258
2026-08-03 11:35:00-04:00,757.6599731445312,759.6085205078125,754.1199951171875,757.4099731445312,757.4099731445312,20875
2026-08-03 11:40:00-04:00,757.3599853515625,760.989990234375,757.3599853515625,758.0200805664062,758.0200805664062,35271
2026-08-03 11:45:00-04:00,759.8699951171875,762.7199096679688,758.4299926757812,760.7249755859375,760.7249755859375,24829
2026-08-03 11:50:00-04:00,760.7249755859375,764.5,759.0900268554688,761.875,761.875,36993
2026-08-03 11:55:00-04:00,760.3201293945312,763.4197998046875,760.3200073242188,762.52001953125,762.52001953125,15566
2026-08-03 12:00:00-04:00,762.3173217773438,764.9598999023438,762.0,763.4600219726562,763.4600219726562,42170
2026-08-03 12:05:00-04:00,763.9199829101562,767.6699829101562,761.02001953125,762.0999755859375,762.0999755859375,55015
2026-08-03 12:10:00-04:00,762.7899780273438,763.1359252929688,759.7150268554688,760.385009765625,760.385009765625,30128
