Datetime,Open,High,Low,Close,Adj Close,Volume
2026-08-03 09:30:00-04:00,254.8600006103516,255.3600006103516,248.4687042236328,254.0399932861328,254.0399932861328,354253
2026-08-03 09:35:00-04:00,254.0399932861328,264.14990234375,250.5,259.3099975585937,259.3099975585937,187418
2026-08-03 09:40:00-04:00,259.2431640625,261.0,256.1091003417969,260.7200012207031,260.7200012207031,112683
2026-08-03 09:45:00-04:00,260.20001220703125,265.1700134277344,260.0799865722656,263.1700134277344,263.1700134277344,102335
2026-08-03 09:50:00-04:00,262.7799987792969,264.8500061035156,261.1549987792969,262.20001220703125,262.20001220703125,95170
2026-08-03 09:55:00-04:00,262.4200134277344,268.7900085449219,261.92999267578125,268.3999938964844,268.3999938964844,68100
2026-08-03 10:00:00-04:00,268.19000244140625,269.45001220703125,265.95098876953125,266.7799987792969,266.7799987792969,98319
2026-08-03 10:05:00-04:00,266.6650085449219,269.2799987792969,266.32000732421875,268.6650085449219,268.6650085449219,46201
2026-08-03 10:10:00-04:00,268.6600036621094,271.9800109863281,268.07000732421875,269.510009765625,269.510009765625,102288
2026-08-03 10:15:00-04:00,269.7300109863281,272.8699951171875,269.1650085449219,272.0400085449219,272.0400085449219,74654
2026-08-03 10:20:00-04:00,272.04998779296875,276.32000732421875,271.4700927734375,276.32000732421875,276.32000732421875,99899
2026-08-03 10:25:00-04:00,276.3299865722656,279.6000061035156,276.0,279.4700012207031,279.4700012207031,118358
2026-08-03 10:30:00-04:00,279.5299987792969,283.0,279.2099914550781,282.2900085449219,282.2900085449219,148675
2026-08-03 10:35:00-04:00,282.2900085449219,285.5,282.19000244140625,285.17498779296875,285.17498779296875,182381
2026-08-03 10:40:00-04:00,285.1700134277344,285.7200012207031,282.110107421875,282.9949951171875,282.9949951171875,77426
2026-08-03 10:45:00-04:00,282.7900085449219,286.6400146484375,281.8705139160156,286.010009765625,286.010009765625,75876
2026-08-03 10:50:00-04:00,285.989990234375,287.9100036621094,285.9800109863281,286.6199951171875,286.6199951171875,90926
