Datetime,Open,High,Low,Close,Adj Close,Volume
2026-08-03 09:30:00-04:00,1136.725341796875,1165.83984375,1121.3299560546875,1160.4599609375,1160.4599609375,1760026
2026-08-03 09:35:00-04:00,1161.5699462890625,1217.0,1156.239990234375,1193.4100341796875,1193.4100341796875,626553
2026-08-03 09:40:00-04:00,1193.4998779296875,1204.530029296875,1169.989990234375,1192.010009765625,1192.010009765625,342434
2026-08-03 09:45:00-04:00,1194.010009765625,1211.6400146484375,1182.0,1198.9000244140625,1198.9000244140625,333673
2026-08-03 09:50:00-04:00,1198.010009765625,1201.9990234375,1183.6500244140625,1194.949951171875,1194.949951171875,191742
2026-08-03 09:55:00-04:00,1192.030029296875,1220.52001953125,1192.030029296875,1219.4849853515625,1219.4849853515625,299780
2026-08-03 10:00:00-04:00,1220.1400146484375,1228.969970703125,1194.010009765625,1200.6700439453125,1200.6700439453125,320687
2026-08-03 10:05:00-04:00,1201.0999755859375,1209.7900390625,1191.4560546875,1203.4951171875,1203.4951171875,181878
2026-08-03 10:10:00-04:00,1204.22998046875,1223.0,1202.1400146484375,1204.3299560546875,1204.3299560546875,259108
2026-08-03 10:15:00-04:00,1204.010009765625,1226.739990234375,1200.0,1221.22998046875,1221.22998046875,245831
2026-08-03 10:20:00-04:00,1220.6300048828125,1239.949951171875,1217.7099609375,1237.0799560546875,1237.0799560546875,316252
2026-08-03 10:25:00-04:00,1237.0849609375,1251.7398681640625,1236.7000732421875,1251.3701171875,1251.3701171875,320421
2026-08-03 10:30:00-04:00,1251.739990234375,1262.9310302734375,1243.4200439453125,1249.25244140625,1249.25244140625,326480
2026-08-03 10:35:00-04:00,1248.5400390625,1264.300048828125,1246.5240478515625,1259.2850341796875,1259.2850341796875,244042
2026-08-03 10:40:00-04:00,1258.8800048828125,1259.5899658203125,1240.64501953125,1240.8299560546875,1240.8299560546875,211897
2026-08-03 10:45:00-04:00,1240.635009765625,1258.324951171875,1236.050048828125,1256.760009765625,1256.760009765625,204812
2026-08-03 10:50:00-04:00,1257.3699951171875,1274.0,1255.219970703125,1266.760009765625,1266.760009765625,262031
