Date,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME
2025-08-08,112.16999816894531,119.33000183105469,111.66999816894531,118.88999938964844,118.69947814941406,28962200
2025-08-11,124.97000122070312,127.27999877929688,121.6500015258789,123.72000122070312,123.52174377441406,35065800
2025-08-12,124.69999694824219,128.5500030517578,123.04000091552734,127.75,127.5452880859375,25961200
2025-08-13,127.58000183105469,128.60000610351562,123.3499984741211,124.2699966430664,124.07085418701172,18438200
2025-08-14,123.19999694824219,125.73999786376953,121.4000015258789,125.29000091552734,125.08922576904297,12235900
2025-08-15,123.16999816894531,123.37999725341797,119.44000244140625,120.87000274658203,120.67630767822266,18986700
2025-08-18,121.3499984741211,123.68000030517578,120.66000366210938,123.55000305175781,123.35201263427734,12208800
2025-08-19,122.94000244140625,124.23999786376953,121.30999755859375,122.05000305175781,121.85442352294922,11491200
2025-08-20,118.69999694824219,118.91000366210938,113.45999908447266,117.20999908447266,117.02217864990234,25795000
2025-08-21,117.0,117.7300033569336,115.61000061035156,115.79000091552734,115.60446166992188,13174900
2025-08-22,117.6500015258789,120.69999694824219,116.51000213623047,117.68000030517578,117.49142456054688,17038300
2025-08-25,117.68000030517578,118.08000183105469,116.0999984741211,116.41999816894531,116.23343658447266,8674800
2025-08-26,116.08999633789062,118.36000061035156,115.80999755859375,116.5,116.31330871582031,12584300
2025-08-27,116.8499984741211,118.7300033569336,116.44000244140625,117.75,117.56130981445312,15349300
2025-08-28,118.87999725341797,122.56999969482422,118.7300033569336,122.0,121.80449676513672,17295500
2025-08-29,122.5999984741211,122.7699966430664,118.05999755859375,119.01000213623047,118.81929779052734,16774000
2025-09-02,115.86000061035156,118.55999755859375,114.25,118.4800033569336,118.2901382446289,13771900
2025-09-03,119.36000061035156,119.44000244140625,117.30000305175781,118.72000122070312,118.5297622680664,14101300
2025-09-04,118.8499984741211,124.41000366210938,118.5199966430664,124.20999908447266,124.01095581054688,18589100
2025-09-05,127.7699966430664,131.41000366210938,125.66000366210938,131.3699951171875,131.1594696044922,28416000
2025-09-08,130.5500030517578,132.25999450683594,128.39999389648438,131.4600067138672,131.2493438720703,19492600
2025-09-09,131.75999450683594,138.0,131.55999755859375,135.24000549316406,135.0232696533203,20705000
2025-09-10,140.02000427246094,142.24000549316406,138.33999633789062,140.0,139.77565002441406,25791300
2025-09-11,147.72000122070312,156.25999450683594,147.61000061035156,150.57000732421875,150.32872009277344,52446400
2025-09-12,153.5500030517578,158.27999877929688,153.2100067138672,157.22999572753906,156.97804260253906,32288300
2025-09-15,156.9600067138672,160.33999633789062,156.5500030517578,157.77000427246094,157.51719665527344,20101400
