Date,Open,High,Low,Close,Adj Close,Volume
2025-08-08,23.975000381469727,24.39999961853028,20.670000076293945,21.59000015258789,21.59000015258789,12222900
2025-08-11,21.600000381469727,21.600000381469727,19.88500022888184,20.86000061035156,20.86000061035156,5699700
2025-08-12,21.32999992370605,23.81100082397461,21.30500030517578,22.790000915527344,22.790000915527344,5557400
2025-08-13,23.645000457763672,24.299999237060547,22.09499931335449,23.020000457763672,23.020000457763672,4930700
2025-08-14,22.1299991607666,22.5,20.458999633789062,21.01000022888184,21.01000022888184,4933300
2025-08-15,21.809999465942383,22.959999084472656,21.315000534057617,22.364999771118164,22.364999771118164,4211100
2025-08-18,22.780000686645508,26.968000411987305,22.0,26.1299991607666,26.1299991607666,8720300
2025-08-19,25.520000457763672,25.790000915527344,22.520000457763672,22.770000457763672,22.770000457763672,6877900
2025-08-20,22.5,22.600000381469727,20.7189998626709,21.93000030517578,21.93000030517578,4400300
2025-08-21,21.81999969482422,23.75,21.600000381469727,23.700000762939453,23.700000762939453,4430600
2025-08-22,23.46999931335449,25.989999771118164,23.350000381469727,24.790000915527344,24.790000915527344,5150300
2025-08-25,25.075000762939453,26.32999992370605,24.32999992370605,24.34000015258789,24.34000015258789,5866400
2025-08-26,25.790000915527344,26.32999992370605,24.75,25.06999969482422,25.06999969482422,5071900
2025-08-27,25.200000762939453,25.540000915527344,24.02499961853028,24.049999237060547,24.049999237060547,4676200
2025-08-28,24.299999237060547,25.93000030517578,22.450000762939453,25.489999771118164,25.489999771118164,5717300
2025-08-29,25.81999969482422,26.64999961853028,24.09000015258789,24.200000762939453,24.200000762939453,3700300
2025-09-02,22.82999992370605,23.63999938964844,22.200000762939453,23.350000381469727,23.350000381469727,4528700
2025-09-03,23.809999465942383,24.59000015258789,22.51000022888184,23.020000457763672,23.020000457763672,4953400
2025-09-04,23.34000015258789,23.68000030517578,22.040000915527344,23.31999969482422,23.31999969482422,4102200
2025-09-05,23.850000381469727,24.225000381469727,22.6299991607666,23.989999771118164,23.989999771118164,3867500
2025-09-08,24.270000457763672,24.489999771118164,23.165000915527344,23.6299991607666,23.6299991607666,3254700
2025-09-09,23.55500030517578,24.100000381469727,22.739999771118164,23.71999931335449,23.71999931335449,2923500
2025-09-10,24.700000762939453,28.030000686645508,24.350000381469727,27.71999931335449,27.71999931335449,10593000
2025-09-11,27.350000381469727,27.64999961853028,26.280000686645508,26.850000381469727,26.850000381469727,5414200
2025-09-12,26.82999992370605,27.46999931335449,26.02199935913086,27.06999969482422,27.06999969482422,3793100
2025-09-15,28.09000015258789,29.799999237060547,27.75,29.559999465942383,29.559999465942383,8128900
2025-09-16,29.700000762939453,29.700000762939453,27.299999237060547,28.93000030517578,28.93000030517578,6601900
2025-09-17,28.40999984741211,30.049999237060547,28.229999542236328,29.46999931335449,29.46999931335449,5373200
2025-09-18,30.3700008392334,30.415000915527344,28.437000274658203,29.040000915527344,29.040000915527344,4777100
2025-09-19,28.700000762939453,29.8799991607666,28.520000457763672,28.989999771118164,28.989999771118164,4323400
